Checker,Path,Line,Column,Message,Tool,End_Line,End_Column,tool,checker,rule
"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",common.c,1187,72,"statement should be inside braces",clang_tidy_oss,1187,72,clang_tidy_oss,"google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
"hicpp-braces-around-statements,readability-braces-around-statements",common.c,1194,46,"statement should be inside braces",clang_tidy_oss,1194,46,clang_tidy_oss,"hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,1196,11,"the value returned by this function should be used",clang_tidy_oss,1196,11,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1197,11,"the value returned by this function should be used",clang_tidy_oss,1197,11,clang_tidy_oss,cert-err33-c,ERR33-C
"hicpp-braces-around-statements,readability-braces-around-statements",common.c,1201,46,"statement should be inside braces",clang_tidy_oss,1201,46,clang_tidy_oss,"hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,1203,11,"the value returned by this function should be used",clang_tidy_oss,1203,11,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1204,11,"the value returned by this function should be used",clang_tidy_oss,1204,11,clang_tidy_oss,cert-err33-c,ERR33-C
"hicpp-braces-around-statements,readability-braces-around-statements",common.c,1208,54,"statement should be inside braces",clang_tidy_oss,1208,54,clang_tidy_oss,"hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,1210,11,"the value returned by this function should be used",clang_tidy_oss,1210,11,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1211,11,"the value returned by this function should be used",clang_tidy_oss,1211,11,clang_tidy_oss,cert-err33-c,ERR33-C
"hicpp-braces-around-statements,readability-braces-around-statements",common.c,1215,50,"statement should be inside braces",clang_tidy_oss,1215,50,clang_tidy_oss,"hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,1217,11,"the value returned by this function should be used",clang_tidy_oss,1217,11,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1218,11,"the value returned by this function should be used",clang_tidy_oss,1218,11,clang_tidy_oss,cert-err33-c,ERR33-C
"hicpp-braces-around-statements,readability-braces-around-statements",common.c,1226,54,"statement should be inside braces",clang_tidy_oss,1226,54,clang_tidy_oss,"hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,1229,11,"the value returned by this function should be used",clang_tidy_oss,1229,11,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1230,11,"the value returned by this function should be used",clang_tidy_oss,1230,11,clang_tidy_oss,cert-err33-c,ERR33-C
"hicpp-braces-around-statements,readability-braces-around-statements",common.c,1233,50,"statement should be inside braces",clang_tidy_oss,1233,50,clang_tidy_oss,"hicpp-braces-around-statements,readability-braces-around-statements",EXP19-C
cert-err33-c,common.c,1236,11,"the value returned by this function should be used",clang_tidy_oss,1236,11,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1237,11,"the value returned by this function should be used",clang_tidy_oss,1237,11,clang_tidy_oss,cert-err33-c,ERR33-C
bugprone-easily-swappable-parameters,common.c,1244,36,"2 adjacent parameters of 'print_bom' of similar type ('const char *') are easily swapped by mistake",clang_tidy_oss,1244,77,clang_tidy_oss,bugprone-easily-swappable-parameters,NONE
"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",common.c,1246,19,"64 is a magic number; consider replacing it with a named constant",clang_tidy_oss,1246,19,clang_tidy_oss,"cppcoreguidelines-avoid-magic-numbers,readability-magic-numbers",DCL06-C
cert-err33-c,common.c,1281,5,"the value returned by this function should be used",clang_tidy_oss,1281,5,clang_tidy_oss,cert-err33-c,ERR33-C
cert-err33-c,common.c,1282,5,"the value returned by this function should be used",clang_tidy_oss,1282,5,clang_tidy_oss,cert-err33-c,ERR33-C
