Checker	Path	Line	Column	Message	Tool	End_Line	End_Column
hicpp-signed-bitwise	common.c	1539	9	use of a signed integer operand with a binary bitwise operator	clang_tidy	1539	22
hicpp-braces-around-statements,readability-braces-around-statements	common.c	1540	26	statement should be inside braces	clang_tidy	1540	26
google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements	common.c	1544	62	statement should be inside braces	clang_tidy	1544	62
google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements	common.c	1553	61	statement should be inside braces	clang_tidy	1553	61
google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements	common.c	1558	67	statement should be inside braces	clang_tidy	1558	67
concurrency-mt-unsafe	common.c	1576	19	function is not thread safe	clang_tidy	1576	19
cert-err33-c	common.c	1577	10	the value returned by this function should be used	clang_tidy	1577	10
cert-err33-c	common.c	1578	10	the value returned by this function should be used	clang_tidy	1578	10
cert-err33-c	common.c	1579	10	the value returned by this function should be used	clang_tidy	1579	10
cert-err33-c	common.c	1593	13	the value returned by this function should be used	clang_tidy	1593	13
cert-err33-c	common.c	1594	13	the value returned by this function should be used	clang_tidy	1594	13
concurrency-mt-unsafe	common.c	1604	25	function is not thread safe	clang_tidy	1604	25
cert-err33-c	common.c	1605	16	the value returned by this function should be used	clang_tidy	1605	16
cert-err33-c	common.c	1606	16	the value returned by this function should be used	clang_tidy	1606	16
cert-err33-c	common.c	1607	16	the value returned by this function should be used	clang_tidy	1607	16
concurrency-mt-unsafe	common.c	1614	22	function is not thread safe	clang_tidy	1614	22
cert-err33-c	common.c	1615	13	the value returned by this function should be used	clang_tidy	1615	13
cert-err33-c	common.c	1616	13	the value returned by this function should be used	clang_tidy	1616	13
cert-err33-c	common.c	1617	13	the value returned by this function should be used	clang_tidy	1617	13
concurrency-mt-unsafe	common.c	1633	18	function is not thread safe	clang_tidy	1633	18
cert-err33-c	common.c	1634	9	the value returned by this function should be used	clang_tidy	1634	9
cert-err33-c	common.c	1635	9	the value returned by this function should be used	clang_tidy	1635	9
concurrency-mt-unsafe	common.c	1646	18	function is not thread safe	clang_tidy	1646	18
cert-err33-c	common.c	1647	9	the value returned by this function should be used	clang_tidy	1647	9
cert-err33-c	common.c	1648	9	the value returned by this function should be used	clang_tidy	1648	9
cert-err33-c	common.c	1663	11	the value returned by this function should be used	clang_tidy	1663	11
cert-err33-c	common.c	1664	11	the value returned by this function should be used	clang_tidy	1664	11
cert-err33-c	common.c	1665	11	the value returned by this function should be used	clang_tidy	1665	11
concurrency-mt-unsafe	common.c	1689	18	function is not thread safe	clang_tidy	1689	18
cert-err33-c	common.c	1690	9	the value returned by this function should be used	clang_tidy	1690	9
cert-err33-c	common.c	1691	9	the value returned by this function should be used	clang_tidy	1691	9
cert-err33-c	common.c	1692	9	the value returned by this function should be used	clang_tidy	1692	9
google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements	common.c	1694	38	statement should be inside braces	clang_tidy	1694	38
cert-err33-c	common.c	1695	11	the value returned by this function should be used	clang_tidy	1695	11
cert-err33-c	common.c	1697	9	the value returned by this function should be used	clang_tidy	1697	9
google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements	common.c	1702	34	statement should be inside braces	clang_tidy	1702	34
google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements	common.c	1740	65	statement should be inside braces	clang_tidy	1740	65
llvm-else-after-return,readability-else-after-return	common.c	1746	7	do not use 'else' after 'return'	clang_tidy	1746	12
hicpp-signed-bitwise	common.c	1756	9	use of a signed integer operand with a binary bitwise operator	clang_tidy	1756	21
cert-err33-c	common.c	1757	7	the value returned by this function should be used	clang_tidy	1757	7
cert-err33-c	common.c	1758	7	the value returned by this function should be used	clang_tidy	1758	7
hicpp-signed-bitwise	common.c	1759	16	use of a signed integer operand with a binary bitwise operator	clang_tidy	1759	28
cert-err33-c	common.c	1760	7	the value returned by this function should be used	clang_tidy	1760	7
cert-err33-c	common.c	1761	7	the value returned by this function should be used	clang_tidy	1761	7
hicpp-signed-bitwise	common.c	1763	16	use of a signed integer operand with a binary bitwise operator	clang_tidy	1763	28
cert-err33-c	common.c	1764	7	the value returned by this function should be used	clang_tidy	1764	7
cert-err33-c	common.c	1765	7	the value returned by this function should be used	clang_tidy	1765	7
hicpp-signed-bitwise	common.c	1766	16	use of a signed integer operand with a binary bitwise operator	clang_tidy	1766	28
cert-err33-c	common.c	1767	7	the value returned by this function should be used	clang_tidy	1767	7
cert-err33-c	common.c	1768	7	the value returned by this function should be used	clang_tidy	1768	7
google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements	common.c	1782	38	statement should be inside braces	clang_tidy	1782	38
google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements	common.c	1784	38	statement should be inside braces	clang_tidy	1784	38
concurrency-mt-unsafe	common.c	1791	27	function is not thread safe	clang_tidy	1791	27
google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements	common.c	1803	42	statement should be inside braces	clang_tidy	1803	42
google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements	common.c	1805	42	statement should be inside braces	clang_tidy	1805	42
readability-function-cognitive-complexity	common.c	1813	6	function 'print_messages' has cognitive complexity of 86 (threshold 25)	clang_tidy	1813	6
bugprone-easily-swappable-parameters	common.c	1813	61	2 adjacent parameters of 'print_messages' of similar type ('const char *') are easily swapped by mistake	clang_tidy	1813	101
