Checker,Path,Line,Column,Message,tool,checker,rule
noExplicitConstructor,auxil/broker/caf/libcaf_core/caf/intrusive_ptr.hpp,72,13,"Class 'intrusive_ptr < message_data >' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/broker/caf/libcaf_core/caf/intrusive_ptr.hpp,76,3,"Class 'intrusive_ptr < message_data >' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/broker/caf/libcaf_core/caf/intrusive_ptr.hpp,89,3,"Class 'intrusive_ptr < message_data >' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/broker/caf/libcaf_core/caf/intrusive_ptr.hpp,72,13,"Class 'intrusive_ptr < detail :: message_data >' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/broker/caf/libcaf_core/caf/intrusive_ptr.hpp,76,3,"Class 'intrusive_ptr < detail :: message_data >' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/broker/caf/libcaf_core/caf/intrusive_ptr.hpp,89,3,"Class 'intrusive_ptr < detail :: message_data >' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/broker/caf/libcaf_core/caf/span.hpp,62,13,"Class 'span < byte >' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/broker/caf/libcaf_core/caf/span.hpp,70,3,"Class 'span < byte >' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/broker/caf/libcaf_core/caf/span.hpp,77,3,"Class 'span < byte >' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/broker/caf/libcaf_core/caf/span.hpp,62,13,"Class 'span < const byte >' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/broker/caf/libcaf_core/caf/span.hpp,70,3,"Class 'span < const byte >' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/broker/caf/libcaf_core/caf/span.hpp,77,3,"Class 'span < const byte >' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/broker/caf/libcaf_core/caf/span.hpp,62,13,"Class 'span < type_id_list >' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/broker/caf/libcaf_core/caf/span.hpp,70,3,"Class 'span < type_id_list >' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/broker/caf/libcaf_core/caf/span.hpp,77,3,"Class 'span < type_id_list >' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
shadowFunction,auxil/broker/caf/libcaf_core/caf/message.hpp,51,10,"Local variable 'types' shadows outer function",cppcheck,shadowFunction,DCL01-C
shadowFunction,auxil/broker/caf/libcaf_core/caf/message.hpp,52,10,"Local variable 'ptr' shadows outer function",cppcheck,shadowFunction,DCL01-C
constParameter,auxil/broker/caf/libcaf_core/caf/optional.hpp,288,24,"Parameter 'x' can be declared as pointer to const",cppcheck,constParameter,DCL00-C
constParameter,auxil/broker/caf/libcaf_core/caf/span.hpp,56,41,"Parameter 'last' can be declared as pointer to const",cppcheck,constParameter,DCL00-C
noValidConfiguration,auxil/broker/caf/libcaf_core/src/settings.cpp,0,0,"This file is not analyzed. Cppcheck failed to extract a valid configuration. Use -v for more details.",cppcheck,noValidConfiguration,NONE
operatorEqVarError,auxil/broker/caf/libcaf_io/src/io/network/receive_buffer.cpp,44,33,"Member variable 'receive_buffer::capacity_' is not assigned a value in 'receive_buffer::operator='.",cppcheck,operatorEqVarError,OOP54-CPP
noExplicitConstructor,auxil/broker/caf/libcaf_io/caf/io/network/receive_buffer.hpp,39,3,"Class 'receive_buffer' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noValidConfiguration,auxil/broker/caf/libcaf_core/src/flow/observable_builder.cpp,0,0,"This file is not analyzed. Cppcheck failed to extract a valid configuration. Use -v for more details.",cppcheck,noValidConfiguration,NONE
noValidConfiguration,auxil/broker/tests/cpp/system/shutdown.cc,0,0,"This file is not analyzed. Cppcheck failed to extract a valid configuration. Use -v for more details.",cppcheck,noValidConfiguration,NONE
missingReturn,auxil/broker/include/broker/data.hh,98,5,"Found a exit path from function with non-void return type that has missing return statement",cppcheck,missingReturn,NONE
uninitMemberVar,auxil/broker/include/broker/network_info.hh,14,3,"Member variable 'network_info::port' is not initialized in the constructor.",cppcheck,uninitMemberVar,EXP33-C
operatorEqVarError,src/probabilistic/BitVector.cc,132,23,"Member variable 'BitVector::num_bits' is not assigned a value in 'BitVector::operator='.",cppcheck,operatorEqVarError,OOP54-CPP
operatorEqVarError,src/probabilistic/BitVector.cc,67,45,"Member variable 'Reference::block' is not assigned a value in 'Reference::operator='.",cppcheck,operatorEqVarError,OOP54-CPP
noExplicitConstructor,auxil/broker/include/broker/error.hh,121,3,"Class 'error' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/broker/include/broker/expected.hh,341,3,"Class 'expected < void >' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/broker/include/broker/expected.hh,353,3,"Class 'expected < void >' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/broker/include/broker/data.hh,112,3,"Class 'data' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/broker/include/broker/data.hh,118,3,"Class 'data' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/broker/include/broker/expected.hh,44,3,"Class 'expected < broker :: data >' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/broker/include/broker/expected.hh,49,3,"Class 'expected < broker :: data >' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/broker/include/broker/expected.hh,53,3,"Class 'expected < broker :: data >' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/broker/include/broker/expected.hh,57,3,"Class 'expected < broker :: data >' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/broker/include/broker/expected.hh,65,3,"Class 'expected < broker :: data >' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/broker/include/broker/expected.hh,44,3,"Class 'expected < data >' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/broker/include/broker/expected.hh,49,3,"Class 'expected < data >' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/broker/include/broker/expected.hh,53,3,"Class 'expected < data >' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/broker/include/broker/expected.hh,57,3,"Class 'expected < data >' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
noExplicitConstructor,auxil/broker/include/broker/expected.hh,65,3,"Class 'expected < data >' has a constructor with 1 argument that is not explicit.",cppcheck,noExplicitConstructor,DCL53-CPP
shadowFunction,auxil/broker/include/broker/error.hh,246,8,"Local variable 'get' shadows outer function",cppcheck,shadowFunction,DCL01-C
shadowFunction,auxil/broker/include/broker/address.hh,103,10,"Local variable 'get' shadows outer function",cppcheck,shadowFunction,DCL01-C
shadowFunction,auxil/broker/include/broker/port.hh,49,12,"Local variable 'get' shadows outer function",cppcheck,shadowFunction,DCL01-C
shadowFunction,auxil/broker/include/broker/port.hh,69,8,"Local variable 'get' shadows outer function",cppcheck,shadowFunction,DCL01-C
shadowFunction,auxil/broker/include/broker/subnet.hh,41,12,"Local variable 'get' shadows outer function",cppcheck,shadowFunction,DCL01-C
